Phrase Num,Selection Num,Click Num,Typed Text,Click Time Relative (s),Click Time Absolute (s)
11,4,1,work stop bad something_different ,0.1094,1646261191
11,4,2,work stop bad something_different ,0.2344,1646261195
11,5,1,work stop bad something_different soft ,0.1967,1646261200
11,5,2,work stop bad something_different soft ,0.1521,1646261204
11,6,1,work stop bad something_different soft .,0.0437,1646261207
11,6,2,work stop bad something_different soft .,0.0894,1646261209
11,6,3,work stop bad something_different soft .,0.0587,1646261211
11,7,1,work stop bad something_different soft ..,0.1164,1646261214
11,7,2,work stop bad something_different soft ..,0.1561,1646261218
11,7,3,work stop bad something_different soft ..,0.1231,1646261221
12,1,1,take ,0.2084,1646261226
12,1,2,take ,0.0904,1646261231
12,2,1,take where ,0.0003,1646261232
12,2,2,take where ,0.0497,1646261235
12,2,3,take where ,0.1717,1646261238
